Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,TN,FP,FN,TP
Logistic Regression + SMOTE,0.7912446912773603,0.14522821576763487,0.8333333333333334,0.24734982332155478,0.8979935642627296,0.306854148317605,2317,618,21,105
XGBoost + SMOTE,0.8866383534792551,0.19047619047619047,0.5396825396825397,0.2815734989648033,0.8716705875990374,0.19924201113861345,2646,289,58,68
LightGBM + SMOTE,0.9327017314603071,0.25308641975308643,0.3253968253968254,0.2847222222222222,0.8692382574835726,0.20163235115432185,2814,121,85,41
Random Forest + SMOTE,0.914733747141457,0.17703349282296652,0.29365079365079366,0.2208955223880597,0.8615802709499473,0.17080894641964894,2763,172,89,37
LightGBM,0.9578569095066971,0.4444444444444444,0.09523809523809523,0.1568627450980392,0.8927584435250535,0.28008569477814965,2920,15,114,12
XGBoost,0.9585102907546553,0.4782608695652174,0.0873015873015873,0.1476510067114094,0.8971336632324707,0.2951182649701921,2923,12,115,11
Random Forest,0.9585102907546553,0.47368421052631576,0.07142857142857142,0.12413793103448276,0.8714312755198615,0.23987295895493504,2925,10,117,9
Logistic Regression,0.9591636720026135,0.6,0.023809523809523808,0.04580152671755725,0.8985803520726859,0.3261699580227357,2933,2,123,3
